srx_accession,file_path,obs_count,disease,diseaseLabel,medianGenesPerCell,medianUmisPerCell,nCellsForQc
SRX17689203,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX17689203.h5ad,3755,idiopathic pulmonary fibrosis,IPF / Pulmonary Fibrosis,1620.0,4412.0,3755
SRX17689200,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX17689200.h5ad,4340,Idiopathic Pulmonary Fibrosis (IPF),IPF / Pulmonary Fibrosis,2183.5,6478.0,4340
SRX19704196,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19704196.h5ad,7615,idiopathic pulmonary fibrosis,IPF / Pulmonary Fibrosis,1245.0,2571.0,7615
SRX27291612,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX27291612.h5ad,21984,Idiopathic Pulmonary Fibrosis (IPF),IPF / Pulmonary Fibrosis,1610.0,2512.0,21984
SRX23724085,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23724085.h5ad,4982,SARS-CoV-2 infection,COVID-19 / SARS-CoV-2,4008.0,13032.5,4982
SRX10048389,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX10048389.h5ad,10008,COVID-19,COVID-19 / SARS-CoV-2,2367.5,4941.5,10008
SRX15263316,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX15263316.h5ad,5356,SARS-CoV-2 infection,COVID-19 / SARS-CoV-2,4763.5,16285.0,5356
SRX23724096,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23724096.h5ad,11802,SARS-CoV-2 infection,COVID-19 / SARS-CoV-2,1571.5,2837.0,11802
SRX22226494,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22226494.h5ad,3264,SARS-CoV-2 infection,COVID-19 / SARS-CoV-2,1416.0,2586.5,3264
SRX10100448,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX10100448.h5ad,28784,SARS-CoV-2 infection,COVID-19 / SARS-CoV-2,3024.0,7278.5,28784
SRX12285822,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX12285822.h5ad,4377,SARS-CoV-2 infection,COVID-19 / SARS-CoV-2,3538.0,11048.0,4377
SRX23331471,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23331471.h5ad,7637,SARS-CoV-2 infection,COVID-19 / SARS-CoV-2,5463.0,21010.0,7637
SRX8353568,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX8353568.h5ad,6819,SARS-CoV-2 (COVID-19) in vitro model,COVID-19 / SARS-CoV-2,3875.0,13546.0,6819
SRX23724094,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23724094.h5ad,9504,SARS-CoV-2 infection,COVID-19 / SARS-CoV-2,2721.5,5811.0,9504
SRX23724088,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23724088.h5ad,4947,SARS-CoV-2 infection,COVID-19 / SARS-CoV-2,2313.0,5182.0,4947
SRX22226492,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22226492.h5ad,3967,acute respiratory distress syndrome (ARDS) from COVID-19,COVID-19 / SARS-CoV-2,2034.0,4055.0,3967
SRX23802731,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23802731.h5ad,22441,SARS-CoV-2 infection (COVID-19 model),COVID-19 / SARS-CoV-2,1448.0,2530.0,22441
SRX23395191,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23395191.h5ad,2178,SARS-CoV-2 infection,COVID-19 / SARS-CoV-2,1456.5,2933.0,2178
SRX23724122,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23724122.h5ad,4650,SARS-CoV-2 infection,COVID-19 / SARS-CoV-2,1391.0,2491.5,4650
SRX22226505,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22226505.h5ad,4581,SARS-CoV-2 infection,COVID-19 / SARS-CoV-2,2882.0,6850.0,4581
SRX17137139,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX17137139.h5ad,19000,SARS-CoV-2 infection,COVID-19 / SARS-CoV-2,2710.0,6768.0,19000
SRX11438989,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX11438989.h5ad,4159,SARS-CoV-2 infection,COVID-19 / SARS-CoV-2,2183.0,5065.0,4159
SRX23724098,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23724098.h5ad,11246,SARS-CoV-2 infection,COVID-19 / SARS-CoV-2,1427.5,2577.0,11246
SRX22226500,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22226500.h5ad,1989,SARS-CoV-2 infection,COVID-19 / SARS-CoV-2,1941.0,3925.0,1989
