position,srx,status,input_r2_file,output_r2_file,run_id,local_csv,timestamp,duration_seconds,error
33/116,SRX19704194,success,cytetype_pipeline_20260522_175813/SRX19704194_annotated.h5ad,cyteonto_pipeline_20260526_112224/SRX19704194_cyteonto.csv,run-7ce3fce3-e308-43e5-a79d-d2afa8496833,output/cyteonto_pipeline/20260526_121155/results/SRX19704194_cyteonto.csv,2026-05-26 13:16:26,139.11,
34/116,SRX19704196,success,cytetype_pipeline_20260522_175813/SRX19704196_annotated.h5ad,cyteonto_pipeline_20260526_112224/SRX19704196_cyteonto.csv,run-81e5b411-2ba5-4176-a6ea-502035cafa39,output/cyteonto_pipeline/20260526_121155/results/SRX19704196_cyteonto.csv,2026-05-26 13:18:32,126.03,
35/116,SRX19727428,success,cytetype_pipeline_20260522_175813/SRX19727428_annotated.h5ad,cyteonto_pipeline_20260526_112224/SRX19727428_cyteonto.csv,run-a54092d4-fa78-40dd-af03-d46054c6fe98,output/cyteonto_pipeline/20260526_121155/results/SRX19727428_cyteonto.csv,2026-05-26 13:20:26,113.95,
36/116,SRX19727429,success,cytetype_pipeline_20260522_175813/SRX19727429_annotated.h5ad,cyteonto_pipeline_20260526_112224/SRX19727429_cyteonto.csv,run-e2fd4863-3df8-46ee-9be3-5e637308f3fc,output/cyteonto_pipeline/20260526_121155/results/SRX19727429_cyteonto.csv,2026-05-26 13:22:31,124.96,
37/116,SRX19727432,success,cytetype_pipeline_20260522_175813/SRX19727432_annotated.h5ad,cyteonto_pipeline_20260526_112224/SRX19727432_cyteonto.csv,run-eaeb92f2-2dc1-43d8-a122-ef7930336540,output/cyteonto_pipeline/20260526_121155/results/SRX19727432_cyteonto.csv,2026-05-26 13:24:36,125.22,
38/116,SRX19727434,success,cytetype_pipeline_20260522_175813/SRX19727434_annotated.h5ad,cyteonto_pipeline_20260526_112224/SRX19727434_cyteonto.csv,run-918e524b-e8f2-4867-a048-c69b1213ec97,output/cyteonto_pipeline/20260526_121155/results/SRX19727434_cyteonto.csv,2026-05-26 13:26:28,111.95,
39/116,SRX19727435,success,cytetype_pipeline_20260522_175813/SRX19727435_annotated.h5ad,cyteonto_pipeline_20260526_112224/SRX19727435_cyteonto.csv,run-ec987fc0-db57-4957-8218-011b0e6332a5,output/cyteonto_pipeline/20260526_121155/results/SRX19727435_cyteonto.csv,2026-05-26 13:28:30,122.04,
40/116,SRX19844818,success,cytetype_pipeline_20260522_175813/SRX19844818_annotated.h5ad,cyteonto_pipeline_20260526_112224/SRX19844818_cyteonto.csv,run-9ed39677-58f4-488c-ae1e-f04feee8473d,output/cyteonto_pipeline/20260526_121155/results/SRX19844818_cyteonto.csv,2026-05-26 13:30:34,123.88,
41/116,SRX19844819,success,cytetype_pipeline_20260522_175813/SRX19844819_annotated.h5ad,cyteonto_pipeline_20260526_112224/SRX19844819_cyteonto.csv,run-45f0dddd-abce-4868-a8a1-36e924920b30,output/cyteonto_pipeline/20260526_121155/results/SRX19844819_cyteonto.csv,2026-05-26 13:32:39,124.44,
42/116,SRX19844821,success,cytetype_pipeline_20260522_175813/SRX19844821_annotated.h5ad,cyteonto_pipeline_20260526_112224/SRX19844821_cyteonto.csv,run-ccfd02ae-fef3-48a7-9dfc-102ac2f3e36b,output/cyteonto_pipeline/20260526_121155/results/SRX19844821_cyteonto.csv,2026-05-26 13:34:58,139.93,
