gene,nDiseaseAreas,nClusters,meanLog2FoldChange,direction,geneSymbol,biotype
ENSG00000073861,2,4,-0.7889007331841673,down,TBX21,protein_coding
ENSG00000074527,2,3,0.002201758136685624,down,NTN4,protein_coding
ENSG00000074966,2,2,-1.1971283410025666,down,TXK,protein_coding
ENSG00000075275,2,3,1.2730223443006337,up,CELSR1,protein_coding
ENSG00000075618,2,6,1.4558129432353095,up,FSCN1,protein_coding
ENSG00000075886,2,2,1.802656924344689,up,TUBA3D,protein_coding
ENSG00000076864,2,3,2.3886531254568824,up,RAP1GAP,protein_coding
ENSG00000078081,2,11,-1.6264369009526645,down,LAMP3,protein_coding
ENSG00000078098,2,7,1.7899524888814144,up,FAP,protein_coding
ENSG00000078725,2,10,-1.3966885773763433,down,BRINP1,protein_coding
ENSG00000079215,2,4,1.5209836636343363,up,SLC1A3,protein_coding
ENSG00000079263,2,2,-1.3763258959542832,down,SP140,protein_coding
ENSG00000080293,2,3,1.0423064755920337,up,SCTR,protein_coding
ENSG00000080854,2,10,1.315350300743975,up,IGSF9B,protein_coding
ENSG00000081041,2,5,-1.4305833833923216,down,CXCL2,protein_coding
ENSG00000082397,2,5,-1.4065415859060573,down,EPB41L3,protein_coding
ENSG00000082458,2,1,1.5415329531198625,up,DLG3,protein_coding
ENSG00000082497,2,1,1.7659814243769731,up,SERTAD4,protein_coding
ENSG00000083782,2,1,1.606468717111569,up,EPYC,protein_coding
ENSG00000085063,2,1,1.1805257073448003,up,CD59,protein_coding
ENSG00000085552,2,2,1.6466261525820998,up,IGSF9,protein_coding
ENSG00000085733,2,3,1.4380691824533889,up,CTTN,protein_coding
ENSG00000085831,2,5,-0.40483073528309677,down,TTC39A,protein_coding
ENSG00000086548,2,5,2.2542222807323524,up,CEACAM6,protein_coding
ENSG00000086991,2,4,1.5994563225257952,up,NOX4,protein_coding
ENSG00000087085,2,2,1.4704697438290357,up,ACHE,protein_coding
ENSG00000087245,2,6,1.592611722605567,up,MMP2,protein_coding
ENSG00000087494,2,5,2.3851877882826003,up,PTHLH,protein_coding
ENSG00000087495,2,5,-0.19610212232659371,down,PHACTR3,protein_coding
ENSG00000088882,2,5,2.0988135400046097,up,CPXM1,protein_coding
ENSG00000088992,2,5,1.8964145346834416,up,TESC,protein_coding
ENSG00000089250,2,4,-0.5289618985602793,down,NOS1,protein_coding
ENSG00000089685,2,4,0.7679415997072159,up,BIRC5,protein_coding
ENSG00000090104,2,8,1.3592694018633298,up,RGS1,protein_coding
ENSG00000091844,2,5,0.5828578125085142,up,RGS17,protein_coding
ENSG00000091972,2,4,1.5698356175618844,up,CD200,protein_coding
ENSG00000092421,2,4,-1.3310085878237432,down,SEMA6A,protein_coding
ENSG00000092964,2,2,-1.8238914254348442,down,DPYSL2,protein_coding
ENSG00000094963,2,6,-0.7468400603690396,down,FMO2,protein_coding
ENSG00000095303,2,3,-0.4819477679012894,down,PTGS1,protein_coding
ENSG00000095970,2,3,1.2531506828616281,up,TREM2,protein_coding
ENSG00000099256,2,2,1.4984428013599684,up,PRTFDC1,protein_coding
ENSG00000099260,2,5,1.4223853377163824,up,PALMD,protein_coding
ENSG00000099377,2,2,1.0982804813529574,up,HSD3B7,protein_coding
ENSG00000099812,2,1,1.793710595380401,up,MISP,protein_coding
ENSG00000099840,2,3,-1.2161975106437086,down,IZUMO4,protein_coding
ENSG00000099953,2,6,2.7268890593179864,up,MMP11,protein_coding
ENSG00000099958,2,4,1.7914540177916471,up,DERL3,protein_coding
ENSG00000100122,2,2,1.7294768059546075,up,CRYBB1,protein_coding
ENSG00000100162,2,3,1.0722599755518616,up,CENPM,protein_coding
ENSG00000100362,2,3,1.7919946679718042,up,PVALB,protein_coding
ENSG00000100427,2,2,-1.1777866008442266,down,MLC1,protein_coding
ENSG00000100448,2,4,1.458306162139771,up,CTSG,protein_coding
ENSG00000100558,2,6,1.2656356820596717,up,PLEK2,protein_coding
ENSG00000100600,2,3,1.086292721806836,up,LGMN,protein_coding
ENSG00000100625,2,3,1.5313798682339428,up,SIX4,protein_coding
ENSG00000100968,2,2,1.2085254173122015,up,NFATC4,protein_coding
ENSG00000100985,2,10,2.9850558030055767,up,MMP9,protein_coding
