cluster,diseaseArea,nOverlapStudies,nCaseProfiles,nControlProfiles,nCaseCells,nControlCells,eligibleForContrast,interpretedCellType,interpretationStatus,topLabel,topLabelFraction
44,Interstitial Lung Disease,0,0,0,0,0,False,lung multiciliated epithelial cell,resolved,lung multiciliated epithelial cell,0.9470456921642318
44,Lung Cancer,4,13,13,3081,6672,True,lung multiciliated epithelial cell,resolved,lung multiciliated epithelial cell,0.9470456921642318
44,Pulmonary Hypertension,1,1,2,15,52,False,lung multiciliated epithelial cell,resolved,lung multiciliated epithelial cell,0.9470456921642318
45,COPD,0,0,0,0,0,False,respiratory tract goblet cell,resolved,respiratory tract goblet cell,0.8534097573980272
45,COVID-19 / SARS-CoV-2,5,29,15,12822,3983,True,respiratory tract goblet cell,resolved,respiratory tract goblet cell,0.8534097573980272
45,Cystic Fibrosis,2,22,5,25136,7263,True,respiratory tract goblet cell,resolved,respiratory tract goblet cell,0.8534097573980272
45,IPF / Pulmonary Fibrosis,8,116,36,26794,5675,True,respiratory tract goblet cell,resolved,respiratory tract goblet cell,0.8534097573980272
45,Interstitial Lung Disease,0,0,0,0,0,False,respiratory tract goblet cell,resolved,respiratory tract goblet cell,0.8534097573980272
45,Lung Cancer,4,15,14,1077,3669,True,respiratory tract goblet cell,resolved,respiratory tract goblet cell,0.8534097573980272
45,Pulmonary Hypertension,0,0,0,0,0,False,respiratory tract goblet cell,resolved,respiratory tract goblet cell,0.8534097573980272
46,IPF / Pulmonary Fibrosis,0,0,0,0,0,False,unresolved,unresolved,macrophage,1.0
47,IPF / Pulmonary Fibrosis,0,0,0,0,0,False,unresolved,unresolved,macrophage,0.9512195121951219
