gene,geneSymbol,biotype,cluster,diseaseArea,log2FoldChange,padj,caseDetection,controlDetection,detectionDelta,nStudies,interpretedCellType,interpretationStatus,topSourceLabel,topSourceLabelFraction,homeCluster,homeClusterControlDetection,homeInterpretedCellType,homeTopLabel,homeTopLabelFraction,recipientLabelEntropy,direction
ENSG00000162645,GBP2,protein_coding,60,Lung Cancer,1.2115234988722012,3.752408181926168e-05,0.40847649933471586,0.18635152224443152,0.22212497709028434,5,unresolved,unresolved,pericyte,0.4226224591541113,3,0.7431079271638196,unresolved,"CD4-positive, alpha-beta T cell",0.5879170937250883,2.561506464532918,gain
ENSG00000100234,TIMP3,protein_coding,8,Lung Cancer,1.9490029847070096,0.0028123095055036266,0.3296625828287488,0.10835713028060028,0.22130545254814848,5,unresolved,unresolved,pulmonary alveolar type 2 cell,0.4269116066862419,37,1.0,unresolved,endothelial cell of artery,0.96,2.672494945597188,gain
ENSG00000244694,PTCHD4,protein_coding,20,IPF / Pulmonary Fibrosis,2.5857907155283617,2.2575092476874916e-59,0.27097634459668457,0.04979436254538991,0.22118198205129466,9,unresolved,unresolved,respiratory tract goblet cell,0.3266546281280072,45,0.23492077294777275,respiratory tract goblet cell,respiratory tract goblet cell,0.8534097573980272,2.844452076992309,gain
ENSG00000163359,COL6A3,protein_coding,52,Lung Cancer,3.6214516534637995,0.006455637069378907,0.31314269561616687,0.09222680097680097,0.2209158946393659,2,unresolved,unresolved,B cell,0.1982726687852143,18,0.7295867516788197,unresolved,B cell,0.2673611111111111,3.4002950310585907,gain
ENSG00000151388,ADAMTS12,protein_coding,14,Lung Cancer,1.1546703643659115,7.434960064448484e-05,0.4568671771688806,0.23596334836931324,0.22090382879956735,5,unresolved,unresolved,adventitial cell,0.2762481434936593,18,0.6085663323109125,unresolved,B cell,0.2673611111111111,3.133884473831772,gain
ENSG00000179399,GPC5,protein_coding,8,IPF / Pulmonary Fibrosis,1.6125823338575318,3.8009702397470316e-30,0.6332894122367392,0.41261232891452077,0.22067708332221841,8,unresolved,unresolved,pulmonary alveolar type 2 cell,0.4269116066862419,33,0.7967528997779019,unresolved,basal cell,0.4132281553398058,2.672494945597188,gain
ENSG00000168675,LDLRAD4,protein_coding,52,IPF / Pulmonary Fibrosis,1.190954558558733,3.2905753320519446e-13,0.5834655938462797,0.3631883109303527,0.22027728291592702,5,unresolved,unresolved,B cell,0.1982726687852143,44,0.8378513557507801,lung multiciliated epithelial cell,lung multiciliated epithelial cell,0.9470456921642318,3.4002950310585907,gain
ENSG00000137672,TRPC6,protein_coding,31,IPF / Pulmonary Fibrosis,1.0948376329351546,0.0006407354424342939,0.4072099749391605,0.1871347070809773,0.2200752678581832,8,basal cell,resolved,basal cell,0.9368114823755128,15,0.2891566265060241,unresolved,basal cell,0.9969879518072288,0.532808354671482,gain
ENSG00000108821,COL1A1,protein_coding,20,Lung Cancer,1.7782615903703793,0.02935005341979717,0.4033451264337324,0.18354101712206855,0.21980410931166383,5,unresolved,unresolved,respiratory tract goblet cell,0.3266546281280072,18,0.8395251765728621,unresolved,B cell,0.2673611111111111,2.844452076992309,gain
ENSG00000120708,TGFBI,protein_coding,14,Lung Cancer,2.0707336194842467,5.518601325888932e-10,0.30903340219303493,0.089610023209096,0.21942337898393893,5,unresolved,unresolved,adventitial cell,0.2762481434936593,15,0.9859437751004017,unresolved,basal cell,0.9969879518072288,3.133884473831772,gain
